TYPE;FAILURECODE;DESCRIPTION
CAUSE;BORNEABIERTO;BORNE ABIERTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOSISTTRAN;DANO EN EL SISTEMA DE TRANSFERENCIA
CAUSE;FALTAALIMENT;FALTA ALIMENTACION DE CA/CD
CAUSE;FILTROSUCIO;FILTRO SUCIO
REMEDY;PINTAR;PINTAR
PROBLEM;VAELFUERANGO;VARIABLE ELECTRICA ENTREGADA FUERA DE RANGO
REMEDY;RESTABLECER;RESTABLECER
REMEDY;REPARAR;REPARAR
CAUSE;FALLACOMB;FALLA SISTEMA  COMBUSTIBLE
REMEDY;APRETAR;APRETAR
PROBLEM;FALLACONTR;FALLA  CONTROL
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;INSTR.NIV.TEMP;FALLA INSTRUMENTACION  (NIVEL, RPM, TEMPERATURA)
FAILURECLASS;ROTAGEN;ROTATIVOS GENERICO
PROBLEM;FUGASELL;FUGA DE SELLO MECÁNICO
REMEDY;REPARAR;REPARAR
CAUSE;PRESSELL;BAJA PRESION SELLO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALL.MECA;FALLA MECANICA
CAUSE;DESGECOB;DESGASTE EXCESIVO ESCOBILLAS
REMEDY;REPARAR;REPARAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;REPARAR;REPARAR
CAUSE;ATENTADO;ATENTADO
REMEDY;REPARAR;REPARAR
CAUSE;CONTAMIN;ELEMENTOS EXTRANOS O CONTAMINANTES EN EL FLUIDO
REMEDY;REPARAR;REPARAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;TERCEROS;DANOS CAUSADOS POR TERCEROS (INCLUYE VANDALISMO)
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;SINENERG;SIN ENERGIA
REMEDY;REPARAR;REPARAR
REMEDY;INSPECCI;INSPECCI
REMEDY;INSPECCI;INSPECCIONAR
PROBLEM;DEF.ESTR;DEFICIENCIA ESTRUCTURAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPRGAM;REPROGRAMAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;CONECTDEFECT;CONECTOR DEFECTUOSO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DANOTOTAL;DANO TOTAL
CAUSE;APUNTANTENA;MAL APUNTAMIENTO DE ANTENA
REMEDY;AJUSTAR;AJUSTAR
CAUSE;PROTECTOR;DANO PROTECTOR
PROBLEM;PROTECCIONES;PROTECCIONES
CAUSE;PROTECTOR;DANO PROTECTOR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;PROTECCIONES;PROTECCIONES
CAUSE;PERDIDATOS;PERDIDAD DE DATOS
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTROL;DANO CONTROL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;RESET_REMOTO;REINICIO REMOTO
REMEDY;AJUSTAR;AJUSTAR
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CONFIGURAR;CONFIGURAR
PROBLEM;PTO_ETHERNET;PUERTO ETHERNET
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DNP3.CORRUP;DRIVER DNP3 CORRUPTO
REMEDY;RESET_LOCAL;REINICIO LOCAL
REMEDY;RESET_LOCAL;REINICIO LOCAL
CAUSE;CONECTOR;CONECTOR DANADO
PROBLEM;DRIVER_104;DRIVER DE COMUNICACION 104
CAUSE;MODU.AI;MODULO ENTRADA ANALOGA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTROL;DANO CONTROL
CAUSE;DANO.VALVU;DANO DE VALVULAS
PROBLEM;PRESIONOBARES;PRESIÓN NO ALCANZA LOS BARES
PROBLEM;NOCORRIENTE;NO PROPORCIONA LA CORRIENTE DC NECESARIA
CAUSE;CIRCUDISPA;DANO EN EL CIRCUITO DE CONTROL DE DISPARO
PROBLEM;NOPOTENCIAREAC;NO ENTREGA POTENCIA REACTIVA
PROBLEM;DANOREGULTENS;NO PERMITE EL CONTROL DEL REGULADOR DE TENSION
REMEDY;REPARAR;REPARAR
CAUSE;OPESISTCONTR;MALA OPERACIÓN DEL SISTEMA DE CONTROL
REMEDY;CALIBRAR;CALIBRAR
CAUSE;SISTIRISTO;DANO DE SISTEMA DE TIRISTORES
CAUSE;FALALIMTABLE;FALTA ALMIENTACION EN TABLERO
REMEDY;CORREGIR;CORREGIR
PROBLEM;ESTA50%VOLTAJ;ESTATOR NO ALCANZA 50% DE VOLTAJE NOMINAL
PROBLEM;FALLABATERIA;AUSENCIA DE VOLTAJE DC POR FALLA DE LAS BATERIAS
PROBLEM;NOSENSVELOCID;NO SENSA LA VELOCIDAD
CAUSE;REALIMEN;DANO EN LA REALIMENTACION
CAUSE;DANOTARJ;DANO EN LA TARJETA
REMEDY;CORREGIR;CORREGIR
REMEDY;CORREGIR;CORREGIR
REMEDY;REPARAR;REPARAR
CAUSE;QUEMADO;COMPONENTE QUEMADO
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ELU;FUGA ACEITE
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;DESGAS.RUED;DESGASTE RUEDAS
PROBLEM;FALLA.FRENOIZA;RESBALAMIENTO POR FALLA FRENO IZAJE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;MAL.CONTACTO;MAL  CONTACTO ELEMENTOS
CAUSE;PERD.AISLAM;PERDIDA DE AISLAMIENTO BOBINADO MOTORES
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;CIRCUABIERT;NO SE DETECTA CORRIENTE EXITACION POR CIRCUITO ABIERTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;SENSDEFEC;SENSORES DEFECTUOSOS
PROBLEM;DESCON.PARAME;DESCONFIGURACION  PARAMETROS EN EL CONTROLADOR DE TEMPERATURA O TRANSDUCTOR DE NIVEL.
PROBLEM;ALTNIV.COJI;ALTO NIVEL EN COJINTE
PROBLEM;TAPAD/AHOGA;TAPADO/AHOGADO
FAILURECLASS;RELEPROTECCION;RELE DE PROTECCION
CAUSE;AUSENCONT;AUSENCIA DE CONTROL/PROTECCION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALLPROG;FALLA EN PROGRAMA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FUEN.ALIME.QUEM;FUENTE DE ALIMENTACION QUEMADA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BORN.FLOJ;BORNES O TARJETAS FLOJAS EN GABINETE
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
PROBLEM;CORT.SOBREC;CORTOCIRCUITO, SOBRECARGA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;REPARAR;REPARAR
CAUSE;DESGASTE;DESGASTE, CORROSION, GRIETAS, FISURAS EN EL EQUIPO
REMEDY;REPARAR;REPARAR
CAUSE;ACCESORIO;FALLA EN ACCESORIO (VALVULA, SELLO, EMPAQUE, BRIDA)
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
PROBLEM;FALL.AIS;FALLA DE AISLADORES
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FRAC.ATM;FRACTURA DEBIDO A DESCARGA ATMOSFERICA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONEFLO;CONEXION FLOJA O REVENTADA
REMEDY;REPARAR;REPARAR
PROBLEM;FALL.AIC;FALLA EN AISLAMIENTO DEL CABLE
PROBLEM;FALL.LIN;FALLA EN LINEA O CONDUCTOR
CAUSE;CAPA.CI;FALTA DE CAPACIDAD POR CONSTRUCCION INADECUDADA
CAUSE;TERCEROS;DANOS CAUSADOS POR TERCEROS (INCLUYE VANDALISMO)
CAUSE;DESG.OBS;ENVEJECIMIENTO DEL MATERIAL
CAUSE;DISP.ATM;(SOLO OPERACION) DISPARO POR DESCARGA ATMOSFERICA
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;GIRO.PAR;VALVULA GIRA PARCIALMENTE
CAUSE;CONTELECHIDRA;DANO DEL CONTROL ELECTROHIDRAÚLICO
CAUSE;FACT.HUM;FACTOR HUMANO (MALA INSTALACION)
REMEDY;REPARAR;REPARAR
PROBLEM;CONTELECHIDRA;DANO DEL CONTROL ELECTROHIDRAÚLICO
CAUSE;FACT.HUM;FACTOR HUMANO (MALA INSTALACION)
REMEDY;REINSTAL;REINSTALAR
PROBLEM;F.APE/CI;FALLA AL ABRIR O AL CERRAR
CAUSE;FLAMEO;FLAMEO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BIELAREVENTA;BIELA REVENTADA
CAUSE;EJESUELTO;EJE DE ACOPLE SUELTO
REMEDY;LUBRICAR;LUBRICAR
CAUSE;BIELAREVENTA;BIELA REVENTADA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
REMEDY;CALIBRAR;CALIBRAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;GABINETEROTO;GABINETE DE CONTROL ROTO
REMEDY;REPARAR;REPARAR
REMEDY;PINTAR;PINTAR
CAUSE;IMPDANA;IMPULSOR DAÑADO/DESGASTADO
PROBLEM;BAJODESP;BAJO DESEMPENO, PRESIÓN/FLUJO
CAUSE;PRESSELL;BAJA PRESION SELLO
REMEDY;REPARAR;REPARAR
CAUSE;CAVITACI;CAVITACION
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;SOBRECAL;SOBRECALENTADA(O)
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CBL.CONT;CABLE DE CONTROL O CONEXIONES SUELTAS O DANADAS
REMEDY;CAMBIAR;CAMBIAR
REMEDY;DESBLOQ;DESBLOQUEAR
CAUSE;CONT.DES;CONTACTOS DESGASTADOS
REMEDY;AJUSTAR;AJUSTAR
PROBLEM;ALTA.TEMP;ALTA TEMPERATURA
CAUSE;DESG.VALV;DESGASTE EN VALVULAS
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESG.CILI;DESGASTE EN CILINDROS
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FILT.SUCIO;FILTRO SUCIO
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;CORREXT;CORROSION EXTERNA
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALALIMCONT;FALLA DEBIDO A FALTA DE ALIMENTACION EN CONTROL
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
REMEDY;CALIBRAR;CALIBRAR
CAUSE;PRESISF6BAJA;BAJA PRESION DE SF6
REMEDY;INSUFLAR;INSUFLAR
REMEDY;RESTABLECER;RESTABLECER
CAUSE;MOTORQUEMAD;MOTOR QUEMADO
CAUSE;PRESISF6BAJA;BAJA PRESION DE SF6
REMEDY;ACOPLAR;ACOPLAR
CAUSE;FALALIMSEN;FALTA  ALIMENTACION EN EL CIRCUITO DE SENALIZACION
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CALENTAMIENTO;CALENTAMIENTO
REMEDY;SOLDAR;SOLDAR
PROBLEM;PERDIDAGALVI;PERDIDA DE GALVANIZADO EN ESTRUCTURAS
REMEDY;PINTAR;PINTAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DANOINFRAEST;DANO INFRAESTUCTURA DE SOPORTE
CAUSE;FUNDACDETERI;FUNDACION DETERIORADA
PROBLEM;VALCHECMALA;VALVULA CHECK MALA
PROBLEM;NOENVSENALAR;NO ENVIA SENAL ALARMA
CAUSE;SILICAMALA;SILICA MALA
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESHFALLADO;DESHUMIFICADOR FALLADO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
CAUSE;VALVMALCERRA;VALVULA MAL CERRADA
PROBLEM;FALLASISREFR;FALLA  SISTEMA DE REFRIGERACION DEL TRANSFORMADOR
REMEDY;RESTABLECER;RESTABLECER
CAUSE;RADIADOROBST;RADIADOR OBSTRUIDO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;PERDIDAGALVI;PERDIDA DE GALVANIZADO EN ESTRUCTURAS
REMEDY;RESTABLECER;RESTABLECER
REMEDY;RESTABLECER;RESTABLECER
REMEDY;CALIBRAR;CALIBRAR
CAUSE;FALSENTENPOT;FALTA SENAL DE TENSION DESDE LOS POTENCIALES
REMEDY;REVISAR;REVISAR
PROBLEM;NOVAVOSARESC;NO VARIA VOLTAJE SALIDA TRAFO REGULADOR SIN CARGA
REMEDY;REPARAR;REPARAR
CAUSE;GABINETEROTO;GABINETE DE CONTROL ROTO
CAUSE;FUNDACDETERI;FUNDACION DETERIORADA
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
CAUSE;AISLADORREVE;AISLADORREVE
CAUSE;TRINQUEPEGAD;TRINQUETE DE CIERRE/APERT PEGADO
CAUSE;AISLADORREVE;FALLA DEBIDO A AISLADOR GIRATORIO REVENTADO
CAUSE;AISLADORROTO;AISLADOR ROTO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
CAUSE;SUICHEDESCAL;SUICHE TAMBOR DESPOSICIONADO
REMEDY;CALIBRAR;CALIBRAR
CAUSE;SUCIEDAD;SUCIEDAD O CONTAMINACION EN EL EQUIPO
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;CONECTDEFECT;CONECTOR DEFECTUOSO
CAUSE;CALENTAMIENTO;CALENTAMIENTO
PROBLEM;FALLACIERRE;NO CIERRA
CAUSE;BOBINAQUEMAD;FALLA DEBIDO A BOBINA DE CIERRE/APERT QUEMADA
REMEDY;CALIBRAR;CALIBRAR
CAUSE;BIELAREVENTA;BIELA REVENTADA
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;FALLAAPERTUR;NO ABRE
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BIELAREVENTA;BIELA REVENTADA
PROBLEM;NOLUCEACEPTA;NO LUCE ACEPTABLE
CAUSE;GATILLODANAD;GATILLO APERTURA/CIERRE DEFECTUOSO
PROBLEM;PUETIEFAL;PUESTA A TIERRA   EN MAL ESTADO
CAUSE;MALAJUPTATIE;MAL AJUSTE DEL SISTEMA DE PUESTA A TIERRA
REMEDY;PINTAR;PINTAR
FAILURECLASS;TRAFOPOTE;TRANSFORMADOR DE POTENCIAL
PROBLEM;NOTRANSFOR;NO TRANSFORMA TENSIONES Y/O CORRIENTES
CAUSE;TERMINALSUEL;TERMINALES SUELTAS
PROBLEM;PERDIDASENAL;PERDIDA DE LA SENAL
CAUSE;TERMINALSUEL;TERMINALES SUELTAS
REMEDY;REPARAR;REPARAR
REMEDY;CERRAR;CERRAR
CAUSE;INDICADORDAN;INDICADOR DANADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CONTACDANADO;CONTACTO DEL INSTRUMENTO DANADO
PROBLEM;VAELFUERANGO;VARIABLE ELECTRICA ENTREGADA FUERA DE RANGO
CAUSE;GABINETEROTO;GABINETE DE CONTROL ROTO
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
CAUSE;BLOQUEO;BLOQUEO
CAUSE;NIVEL_HCO_BAJO;BAJO NIVEL DE FLUIDO HIDRAULICO
CAUSE;CIL_HCO_FALLA;CILINDRO HIDRAULICO EN FALLA
REMEDY;REPARAR;REPARAR
CAUSE;NIVEL_OIL_BAJO;BAJO NIVEL DE ACEITE
REMEDY;REPARAR;REPARAR
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REPARAR;REPARAR
REMEDY;CARGAR;CARGAR
CAUSE;BBA_AGUA_FALLA;BOMBA DE AGUA EN FALLA
REMEDY;REPONER;REPONER
CAUSE;RADIADR_OBSTRU;RADIADOR OBSTRUIDO
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;DISC_EMB_FALLA;DISCO DEL EMBRAGUE DESGASTADO O DEFORMADO
REMEDY;REPARAR;REPARAR
CAUSE;RODAMIEN_FALLA;RODAMIENTOS Y COJINETES EN FALLA POR DESGASTE
CAUSE;CORTO_SIST_ELE;CORTO EN EL SISTEMA ELECTRICO
CAUSE;FUSIBLE_MALO;FUSIBLES DEFECTUOSOS
REMEDY;REMPLAZAR;REMPLAZAR
REMEDY;REMPLAZAR;REMPLAZAR
CAUSE;VANDALI;VANDALISMO
CAUSE;FUENTEABIERT;FUENTE ABIERTA
CAUSE;BREAKERABIER;BREAKER DE PROTECCION ABIERTO
PROBLEM;BARRA ABIERTA;BARRA ABIERTA
PROBLEM;AISLADORFALL;AISLADOR DEFECTUOSO
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;NOMUESVARIE;PERDIDA  INDICACION DE LAS VARIABLES ELECTRICAS
REMEDY;REPARAR;REPARAR
CAUSE;FALLAMOTOR;FALLA MOTOR
PROBLEM;NOSUPERVARIA;NO HAY SUPERVISION VARIABLES ELECTRICAS MECANICAS
CAUSE;SUCIEDAD;TRANSFORMADOR  DE POTENCIAL CORROIDO
CAUSE;CORROSION;CORROSION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;DISPOSMALO;DISPOSITIVO ARRANQUE ENSAYO AUTOMATICO MALO
PROBLEM;CABPUETIEFAL;CABLE DE PUESTA A TIERRA SUELTO O EN MAL ESTADO /AUSENTE
REMEDY;REPARAR;REPARAR
CAUSE;FALLA.CONTADOR;FALLA ELEMENTOS O CONTADOR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;BALANCEA;BALANCEAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PRESSELL;BAJA PRESION SELLO
REMEDY;REPARAR;REPARAR
CAUSE;TRANSMIS1;FALLA TRANSMISION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RODFALLA;RODAMIENTO FALLADO
PROBLEM;RUI.EXC;RUIDO EXCESIVO
CAUSE;DESGECOB;DESGASTE EXCESIVO ESCOBILLAS
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;CORREXT;CORROSION EXTERNA
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;INSPECCI;INSPECCIONAR
CAUSE;CABLESUELTO;CABLE DE PUESTA A TIERRA SUELTO
REMEDY;CONECTAR;CONECTAR
REMEDY;REPARAR;REPARAR
REMEDY;INSPECCI;INSPECCI
REMEDY;REPARAR;REPARAR
FAILURECLASS;COMUGEN;COMUNICACIONES GENERICO
CAUSE;FAL.ALIM;FALLA DE ALIMENTACIÓN
REMEDY;REPARAR;REPARAR
REMEDY;INSPECCI;INSPECCI
CAUSE;MODEM;MODEM
REMEDY;CAMBIAR;CAMBIAR
CAUSE;RADIO;RADIO
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;ESTRUCT;DANO EN RECUBRIMIENTO, ABOLLADURA, DEFORMACION
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;DISP.BLO;BLOQUEO DEL DISPOSITIVO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;OBST.VEGETA;OBSTRUCCION VEGETACION
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PROTECTOR;DANO PROTECTOR
PROBLEM;CONFIGURACION;CONFIGURACION
PROBLEM;IDU;UNIDAD DE ACCESO INTERIOR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CONFIGURAR;CONFIGURAR
CAUSE;DESCONFIPROTO;DESCONFIGURACION DE PROTOCOLO
CAUSE;BLOQUEO;BLOQUEO
REMEDY;REINICIAR;REINICIAR
PROBLEM;CONFIGURACION;CONFIGURACION
REMEDY;RECARGAR;RECARGAR
FAILURECLASS;SW;SWITCH DE COMUNICACION
CAUSE;PUERTO;DANO EN PUERTO
CAUSE;BLOQUEO;BLOQUEO
PROBLEM;ENRUTAMIENTO;ENRUTAMIENTO
CAUSE;DESCONFIPROTO;DESCONFIGURACION DE PROTOCOLO
CAUSE;DANSISOPERATI;DANO SISTEMA OPERATIVO
REMEDY;REINSTALAR;REINSTALAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;HURTO;HURTO
CAUSE;AVERIA;AVERIA ESTRUCTURA
REMEDY;REPARAR;REPARAR
PROBLEM;NODESCVOLTCOR;NO DESCONECTA EL VOLTAJE Y LA CORRIENTE DEL ROTOR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
REMEDY;CONFIGURAR;CONFIGURAR
REMEDY;CAMBIAR;CAMBIAR
PROBLEM;CONTROLAD;CONTROLADOR
PROBLEM;BATERIA;BATERIA
CAUSE;DANOTOTAL;DANO TOTAL
REMEDY;CARGAR;CARGAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;PROG.CORRUP;PROGRAMA CORRUPTO
REMEDY;CARGAR;CARGAR
CAUSE;CONECTOR;CONECTOR DANADO
REMEDY;RESET_REMOTO;REINICIO REMOTO
CAUSE;CABLE;CABLE DANADO
REMEDY;AJUSTAR;AJUSTAR
CAUSE;CABLE;CABLE DANADO
PROBLEM;CANGEST_BLOQ;CANAL DE GESTION BLOQUEADO
CAUSE;FUENTE.APAG;FUENTE APAGADA
CAUSE;BATE.DESCAR;BATERIA DESCARGADA
REMEDY;AJUSTAR;AJUSTAR
CAUSE;104.CORRUP;DRIVER 104 CORRUPTO
CAUSE;CABLE;CABLE DANADO
PROBLEM;PTO_SERIAL;PUERTO SERIAL
REMEDY;AJUSTAR;AJUSTAR
REMEDY;CONFIGUR;CONCENTRADOR DESCONFIGURADO
PROBLEM;NOBOMBEA;NO BOMBEA FLUIDO
CAUSE;DANO.VALVU;DANO DE VALVULAS
REMEDY;CORREGIR;CORREGIR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CALIBRAR;CALIBRAR
CAUSE;PERDIAISLAMI;PERDIDA DE AISLAMIENTO DEL ROTOR
CAUSE;CONSIGNOPERAT;CONSIGNA OPERATIVA POR ENCIMA DEL VALOR MAXIMO
PROBLEM;TCALOTIRISTOR;NO TRANSFERENCIA DE CALOR EN PUENTES DE TIRISTORES
CAUSE;CONTROL;DANO CONTROL
CAUSE;SISMECANIBLOQ;SISTEMA MECANICO ATASCADO
REMEDY;CORREGIR;CORREGIR
PROBLEM;NOVELOCMAQUI;NO PROCESA VELOCIDAD DE LA MAQUINA
PROBLEM;FALSUMINIS;FALLA EN FUNCIONAMIENTO CUANDO ES REQUERIDO
CAUSE;FILTRACTANQ;FILTRACION EN TANQUE
REMEDY;REPARAR;REPARAR
CAUSE;FALTA.LUBRIC;FALTA LUBRICACION
CAUSE;DESGASTE;DESGASTE DEL MATERIAL
PROBLEM;FALLACONTR;FALLA  CONTROL
CAUSE;FALL.TARG.ELECT;FALLAN TARJETAS ELECTRONICAS  DE CONTROL
PROBLEM;NOENVSENALAR;NO ENVIA SENAL ALARMA
PROBLEM;NOGIROROTOR;NO PERMITE GIRO CENTRADO DEL ROTOR
CAUSE;INSTALAC;DEFECTO DE CONSTRUCCION, INSTALACION, MONTAJE
CAUSE;CONTAM.SEDIMEN;CONTAMINACION - SEDIMENTACION
REMEDY;AJUSTAR;AJUSTAR
CAUSE;FALLFUNCIONA;FALLA EN FUNCIONAMIENTO CUANDO ES REQUERIDO
CAUSE;PROGCONTR;PROGRAMA DE CONTROL PARADO
REMEDY;REINICIAR;REINICIAR
REMEDY;LIMPIAR;LIMPIAR
REMEDY;LIMPIAR;LIMPIAR
CAUSE;QUEMADO;COMPONENTE QUEMADO
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALLAISLAM;FALLA AISLAMIENTO ELECTRICO ENTRE FASES
REMEDY;REPARAR;REPARAR
CAUSE;ELU;FUGA ACEITE
REMEDY;REPARAR;REPARAR
CAUSE;OBSTRUCFILTR;OBSTRUCCION DE FILTROS
REMEDY;CAMBIAR;CAMBIAR
CAUSE;BRIDA;BRIDA DEFICIENTE
REMEDY;REPARAR;REPARAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;TERCERO;DANO OCASIONADO POR TERCERO (VANDALISMO)
CAUSE;SOBREPRE;SOBREPRESION
REMEDY;CAMBIAR;CAMBIAR
REMEDY;REPARAR;REPARAR
REMEDY;REPARAR;REPARAR
CAUSE;DESPLTER;DESPLAZAMIENTO DEL TERRENO, DESLIZAMIENTO, EROSION
FAILURECLASS;RED.PRI;RED PRIMARIA (CONDUCTOR Y ACCESORIOS)
REMEDY;LIMPIAR;LIMPIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FAT.MAT;FATIGA POR MATERIALES DE MALA CALIDAD
CAUSE;DESG.MC;DESGASTE POR MATERIALES DE MALA CALIDAD
PROBLEM;FALL.PT;FALLA DE PUESTA A TIERRA
REMEDY;MODIFICA;MODIFICAR. RECTIFICAR RED
REMEDY;RETIRAR;RETIRAR
REMEDY;RETIRAR;RETIRAR
REMEDY;CAMBIAR;CAMBIAR
REMEDY;CAMBIAR;CAMBIAR
CAUSE;FALT.LUB;FALTA DE LUBRICACION
